Feature,Importance
Bwd Packet Length Std,0.0803850609973308
Avg Packet Size,0.07715669522709726
Packet Length Variance,0.07680259923575539
Packet Length Std,0.07662420116274728
Bwd Packet Length Mean,0.07030345903361576
Packet Length Max,0.053202217319888945
Avg Bwd Segment Size,0.0445400121718909
Bwd Packet Length Max,0.04127460347385863
Fwd IAT Total,0.030475249931738196
Subflow Bwd Bytes,0.03036752308425044
Packet Length Mean,0.029450913470551083
Avg Fwd Segment Size,0.02676327829443777
Fwd IAT Max,0.026460421797490898
Bwd Packets Length Total,0.021528413849996257
Flow IAT Std,0.019405284216529175
Fwd IAT Std,0.01852655090787503
Fwd IAT Mean,0.017778937531095586
Total Fwd Packets,0.016149791134508786
Fwd Header Length,0.016143432343856495
Subflow Fwd Packets,0.015187598103871526
Subflow Fwd Bytes,0.014956920823768097
Fwd Packets Length Total,0.012010771437928482
Fwd IAT Min,0.01103620015931931
Bwd Packets/s,0.01080537365967799
Fwd Packet Length Mean,0.009879261236471761
Fwd Packet Length Max,0.009458096736834763
Flow IAT Max,0.009182027562361778
Init Fwd Win Bytes,0.0088913788566987
Bwd Packet Length Min,0.008358532022217216
Total Backward Packets,0.007774300368799445
Subflow Bwd Packets,0.007732244234490018
Init Bwd Win Bytes,0.00756936484598388
Flow Duration,0.006983470938468316
Bwd Header Length,0.006370010456754758
Flow Packets/s,0.0059717805065589175
Flow IAT Min,0.005648910766298595
PSH Flag Count,0.005098797041862458
Fwd Packet Length Std,0.004981864666500797
Flow IAT Mean,0.0047481139906941855
Bwd IAT Min,0.004715746242220238
Fwd Packets/s,0.0045870740209732076
Fwd Packet Length Min,0.004457112538317989
ACK Flag Count,0.004000403604303495
Fwd Act Data Packets,0.0038758572914116374
Packet Length Min,0.0030993194227833393
Fwd Seg Size Min,0.0029332984386794964
URG Flag Count,0.0025117177578650065
Idle Mean,0.0025106448389933395
Idle Min,0.0024407034819635565
Idle Max,0.0023517163446778425
Bwd IAT Mean,0.0023466508706824016
Flow Bytes/s,0.002115621773071457
Bwd IAT Std,0.0018024526862272714
Active Mean,0.0016933862025841416
Bwd IAT Total,0.0016327066196967072
Bwd IAT Max,0.0016265492861065442
Active Min,0.0014509037393116272
Active Max,0.0013931441400559697
Active Std,0.0007269620006284504
FIN Flag Count,0.0006679104957540274
Fwd PSH Flags,0.00037766390243008306
Down/Up Ratio,0.00035412512502445216
Idle Std,0.00017454594490455758
SYN Flag Count,0.00016939547705350458
ECE Flag Count,7.241542041765497e-07
RST Flag Count,1.9751593382272028e-18
Fwd Avg Packets/Bulk,0.0
CWE Flag Count,0.0
Bwd URG Flags,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
